took 0.671161 seconds, 40.004309 ns per cacheline, pageSize= 749568 , cacheLine=64, pages=1432 tlb misses=262349
took 0.683716 seconds, 40.752653 ns per cacheline, pageSize= 753664 , cacheLine=64, pages=1424 tlb misses=262316
took 0.680065 seconds, 40.535028 ns per cacheline, pageSize= 757760 , cacheLine=64, pages=1416 tlb misses=262276
took 0.679130 seconds, 40.479307 ns per cacheline, pageSize= 761856 , cacheLine=64, pages=1409 tlb misses=262360
took 0.684167 seconds, 40.779540 ns per cacheline, pageSize= 765952 , cacheLine=64, pages=1401 tlb misses=262298
took 0.672807 seconds, 40.102421 ns per cacheline, pageSize= 770048 , cacheLine=64, pages=1394 tlb misses=262562
took 0.682467 seconds, 40.678202 ns per cacheline, pageSize= 774144 , cacheLine=64, pages=1387 tlb misses=262456
took 0.684890 seconds, 40.822627 ns per cacheline, pageSize= 778240 , cacheLine=64, pages=1379 tlb misses=262497
took 0.685402 seconds, 40.853138 ns per cacheline, pageSize= 782336 , cacheLine=64, pages=1372 tlb misses=262362
took 0.686103 seconds, 40.894932 ns per cacheline, pageSize= 786432 , cacheLine=64, pages=1365 tlb misses=262385
took 0.677512 seconds, 40.382858 ns per cacheline, pageSize= 790528 , cacheLine=64, pages=1358 tlb misses=262398
took 0.684136 seconds, 40.777678 ns per cacheline, pageSize= 794624 , cacheLine=64, pages=1351 tlb misses=262406
took 0.686799 seconds, 40.936413 ns per cacheline, pageSize= 798720 , cacheLine=64, pages=1344 tlb misses=262573
took 0.686415 seconds, 40.913534 ns per cacheline, pageSize= 802816 , cacheLine=64, pages=1337 tlb misses=262160
took 0.687085 seconds, 40.953466 ns per cacheline, pageSize= 806912 , cacheLine=64, pages=1330 tlb misses=262510
took 0.675699 seconds, 40.274799 ns per cacheline, pageSize= 811008 , cacheLine=64, pages=1323 tlb misses=262315
took 0.677547 seconds, 40.384947 ns per cacheline, pageSize= 815104 , cacheLine=64, pages=1317 tlb misses=262629
took 0.682457 seconds, 40.677619 ns per cacheline, pageSize= 819200 , cacheLine=64, pages=1310 tlb misses=262301
took 0.684291 seconds, 40.786929 ns per cacheline, pageSize= 823296 , cacheLine=64, pages=1304 tlb misses=262404
took 0.688538 seconds, 41.040067 ns per cacheline, pageSize= 831488 , cacheLine=64, pages=1291 tlb misses=262376
took 0.677797 seconds, 40.399840 ns per cacheline, pageSize= 839680 , cacheLine=64, pages=1278 tlb misses=262366
took 0.684764 seconds, 40.815124 ns per cacheline, pageSize= 847872 , cacheLine=64, pages=1266 tlb misses=262365
took 0.687047 seconds, 40.951193 ns per cacheline, pageSize= 856064 , cacheLine=64, pages=1254 tlb misses=262380
took 0.687956 seconds, 41.005364 ns per cacheline, pageSize= 864256 , cacheLine=64, pages=1242 tlb misses=262404
took 0.688323 seconds, 41.027249 ns per cacheline, pageSize= 872448 , cacheLine=64, pages=1230 tlb misses=262300
took 0.688792 seconds, 41.055202 ns per cacheline, pageSize= 880640 , cacheLine=64, pages=1219 tlb misses=262354
took 0.689258 seconds, 41.082984 ns per cacheline, pageSize= 888832 , cacheLine=64, pages=1208 tlb misses=262664
took 0.685160 seconds, 40.838714 ns per cacheline, pageSize= 897024 , cacheLine=64, pages=1197 tlb misses=262675
took 0.690478 seconds, 41.155687 ns per cacheline, pageSize= 905216 , cacheLine=64, pages=1186 tlb misses=262410
took 0.690668 seconds, 41.167013 ns per cacheline, pageSize= 913408 , cacheLine=64, pages=1175 tlb misses=262347
took 0.691592 seconds, 41.222094 ns per cacheline, pageSize= 921600 , cacheLine=64, pages=1165 tlb misses=262428
took 0.691058 seconds, 41.190262 ns per cacheline, pageSize= 929792 , cacheLine=64, pages=1154 tlb misses=262263
took 0.695470 seconds, 41.453248 ns per cacheline, pageSize= 937984 , cacheLine=64, pages=1144 tlb misses=262270
took 0.684254 seconds, 40.784727 ns per cacheline, pageSize= 946176 , cacheLine=64, pages=1134 tlb misses=262248
took 0.692950 seconds, 41.303039 ns per cacheline, pageSize= 954368 , cacheLine=64, pages=1125 tlb misses=262432
took 0.697552 seconds, 41.577337 ns per cacheline, pageSize= 962560 , cacheLine=64, pages=1115 tlb misses=262330
took 0.694273 seconds, 41.381895 ns per cacheline, pageSize= 970752 , cacheLine=64, pages=1106 tlb misses=262477
took 0.689998 seconds, 41.127080 ns per cacheline, pageSize= 978944 , cacheLine=64, pages=1096 tlb misses=262255
took 0.690140 seconds, 41.135550 ns per cacheline, pageSize= 987136 , cacheLine=64, pages=1087 tlb misses=262278
took 0.689014 seconds, 41.068432 ns per cacheline, pageSize= 995328 , cacheLine=64, pages=1078 tlb misses=262277
took 0.689715 seconds, 41.110212 ns per cacheline, pageSize= 1003520 , cacheLine=64, pages=1069 tlb misses=262285
took 0.687990 seconds, 41.007397 ns per cacheline, pageSize= 1011712 , cacheLine=64, pages=1061 tlb misses=262471
took 0.696454 seconds, 41.511896 ns per cacheline, pageSize= 1019904 , cacheLine=64, pages=1052 tlb misses=262271
took 0.688267 seconds, 41.023910 ns per cacheline, pageSize= 1028096 , cacheLine=64, pages=1044 tlb misses=262365
took 0.700149 seconds, 41.732122 ns per cacheline, pageSize= 1036288 , cacheLine=64, pages=1036 tlb misses=262425
took 0.693097 seconds, 41.311793 ns per cacheline, pageSize= 1044480 , cacheLine=64, pages=1028 tlb misses=262453
took 0.689422 seconds, 41.092747 ns per cacheline, pageSize= 1052672 , cacheLine=64, pages=1020 tlb misses=262718
took 0.701753 seconds, 41.827747 ns per cacheline, pageSize= 1060864 , cacheLine=64, pages=1012 tlb misses=262678
took 0.698955 seconds, 41.660968 ns per cacheline, pageSize= 1069056 , cacheLine=64, pages=1004 tlb misses=262358
took 0.690764 seconds, 41.172740 ns per cacheline, pageSize= 1077248 , cacheLine=64, pages=996 tlb misses=262368
took 0.691497 seconds, 41.216424 ns per cacheline, pageSize= 1085440 , cacheLine=64, pages=989 tlb misses=262518
took 0.692106 seconds, 41.252733 ns per cacheline, pageSize= 1093632 , cacheLine=64, pages=981 tlb misses=262241
took 0.690809 seconds, 41.175426 ns per cacheline, pageSize= 1101824 , cacheLine=64, pages=974 tlb misses=262861
took 0.703540 seconds, 41.934257 ns per cacheline, pageSize= 1110016 , cacheLine=64, pages=967 tlb misses=262348
took 0.692348 seconds, 41.267157 ns per cacheline, pageSize= 1118208 , cacheLine=64, pages=960 tlb misses=262387
took 0.704574 seconds, 41.995889 ns per cacheline, pageSize= 1126400 , cacheLine=64, pages=953 tlb misses=262385
took 0.696481 seconds, 41.513502 ns per cacheline, pageSize= 1134592 , cacheLine=64, pages=946 tlb misses=262347
took 0.699826 seconds, 41.712880 ns per cacheline, pageSize= 1142784 , cacheLine=64, pages=939 tlb misses=262300
took 0.699730 seconds, 41.707167 ns per cacheline, pageSize= 1150976 , cacheLine=64, pages=932 tlb misses=262200
